73,63,61,76,71,70
68,57,75,66,75,66
63,76,72,83,79,62
62,54,57,76,76,73
65,54,63,63,76,95
55,62,53,71,76,80
78,75,64,81,74,80
65,61,75,85,70,67
64,68,69,69,76,78
64,69,75,71,73,71
66,72,64,80,84,70
81,79,59,65,78,72
52,56,78,70,68,76
75,86,77,64,72,70
78,56,83,65,69,74
76,63,64,65,66,68
68,71,63,56,71,66
73,69,76,65,71,78
78,63,81,78,45,71
68,54,74,65,59,78
78,54,89,78,66,58
70,52,58,76,92,73
81,69,86,50,62,59
62,77,76,61,75,64
67,64,75,77,69,74
61,62,62,73,76,79
69,75,55,82,74,70
58,75,82,63,67,75
82,51,55,69,69,78
75,79,64,61,51,63
80,73,70,93,75,70
70,66,79,64,73,74
67,75,76,63,67,60
82,54,67,75,70,95
68,69,89,67,69,80
64,80,69,73,58,60
67,69,70,58,55,73
63,63,65,68,62,86
64,71,77,79,57,76
79,59,71,77,61,60
54,65,66,60,76,76
64,73,72,68,79,70
72,57,70,73,61,67
58,49,61,64,76,84
70,58,81,63,71,69
70,72,65,77,78,77
54,53,55,54,64,89
65,72,69,74,54,68
42,68,80,69,56,70
70,55,69,72,70,74
77,79,71,73,66,67
61,57,83,64,62,78
79,73,50,66,65,75
71,56,63,64,67,72
66,71,58,65,79,85
80,74,80,68,90,66
65,73,53,74,73,74
61,67,76,59,51,71
55,61,61,69,79,91
81,78,66,71,59,71
75,72,78,61,59,73
64,77,72,63,71,75
75,69,54,91,59,61
73,68,76,70,73,76
63,69,83,68,53,58
71,77,62,53,93,60
71,74,73,77,62,70
63,73,64,76,76,68
74,72,66,69,77,72
78,85,70,69,73,66
60,50,71,62,69,73
67,79,66,70,77,61
76,79,79,76,70,69
74,68,71,59,56,76
77,87,52,74,76,84
60,79,61,62,66,70
76,76,68,66,61,70
77,72,83,73,56,76
64,65,65,67,60,62
62,61,61,67,72,61
90,82,67,74,68,82
80,57,70,56,65,76
65,72,65,69,74,66
69,60,70,51,76,68
73,70,66,75,70,57
66,57,67,73,81,67
68,61,74,73,68,78
65,68,70,74,75,74
67,56,71,73,77,73
78,92,75,64,77,69
65,70,59,74,60,86
80,61,78,69,71,79
64,77,84,69,63,86
51,72,63,86,54,63
98,73,69,59,55,56
73,65,56,60,73,76
75,61,53,74,78,78
70,59,59,79,74,60
67,78,62,62,71,75
59,70,60,83,77,79
